	eng	kor
179	Tom kicked the ball really hard.	톰은 정말 세게 공을 찼다.
336	Tom has no idea where Mary is.	톰은 메리가 어디 있는지 모른다.
2644	Tom made me a cake.	톰이 날 위해 케이크를 만들었어.
1492	Tom and I first met in 2013.	나랑 톰은 2013년도에 처음 만났어.
2207	Tom wore jeans and a cowboy hat.	톰은 청바지를 입고 카우보이 모자를 썼어.
3309	You need to drink more water.	너 물 좀 더 마셔야 겠어.
2106	Things are the same, but people have changed.	상황은 같지만 사람들은 바뀌었다.
2551	I've learned a lot from Tom.	난 톰한테서 많은 걸 배웠어.
2090	I can't imagine a day without you.	네가 없는 날이란 상상도 못 하겠어.
1763	Tom has been crying every night.	톰은 매일 밤마다 울어댔다.
2261	You haven't told Tom you're married, have you?	너 결혼한거 톰한테 말 안했구나, 그치?
3013	Do you remember how slow the Internet used to be?	한때 인터넷이 얼마나 느렸었는지 기억해?
523	Rabbits are extremely social animals.	토끼는 극히 사교적인 동물이야.
2620	This car looks pretty cool.	이 차가 엄청 멋있어 보인다.
2767	I'm very happy in Boston.	난 보스턴 생활이 너무 좋아.
1308	Learning languages is interesting.	언어를 배우는 것은 재미있다.
2619	Her jokes made us all laugh.	그 사람의 농담은 우리 모두를 웃게 했었어.
832	Tom said he spoke to Mary yesterday.	톰이 말하길 자기가 어제 마리한테 말을 걸었대.
2179	People who ignore history tend to repeat it.	역사를 무시하는 사람들은 역사를 되풀이하게 된다.
1403	Some people believe in God and others don't.	신을 믿는 사람들도 있고 아닌 사람도 있어.
846	This news is important to us.	이 뉴스는 우리에게 중요하다.
2703	I will never forgive you.	난 널 절대로 용서하지 않을 거야.
15	This English book is too difficult for me to read.	이 영어 책은 내가 읽기엔 너무 어렵다.
3811	I prefer quality to quantity.	나는 양보다 질을 선호해.
3429	Tom is in a very good mood.	톰은 기분이 굉장히 좋네.
3197	I often dream in French.	나는 종종 프랑스어로 꿈을 꿔.
366	You took the words right out of my mouth.	바로 그게 내가 하고 싶은 말이었다.
1843	His dream came true.	그 사람의 꿈은 실현되었어.
616	All that glitters is not gold.	반짝이는 것이 모두 금은 아니다.
2760	Tom washes his hands more than thirty times a day.	톰은 하루에 삼십 번 이상 손을 씻어.
932	We don't know anything about Tom's past.	우린 톰의 과거에 대해 아무것도 몰라.
1374	That's what makes me sad.	그게 바로 날 슬프게 해.
2141	I feel like doing that today.	오늘 이걸 하고 싶은 기분이야.
3273	I read a French book.	난 프랑스 책을 읽었어.
243	Men like to look masculine.	남자들은 남성적으로 보이고 싶어한다.
3754	I know what Tom is doing.	나는 톰이 뭘 하는지 안다.
3851	Tom pulled out an old shoebox from his closet and opened it.	톰은 벽장에서 헌 구두상자를 꺼내 열었다.
278	I can't decode the message.	메시지를 해독할 수 없어.
1405	I'm the only person who did that.	내가 그걸 한 유일한 사람이야.
1579	I'm in my room studying French.	나는 방에서 프랑스어 공부하는 중이야.
2136	Tom liked to listen to Mary play the piano.	톰은 메리가 피아노 치는 것을 듣는 것을 좋아했다.
303	Is there something that you wish to tell me?	뭔가 할 말이 있니?
1863	Tom is still quite young.	톰은 아직도 꽤 어려.
1631	Tom started getting angry.	톰은 화가 나기 시작했다.
2532	Tom wondered why there was a dog in his house.	톰은 왜 자기 집에 개가 있었는지 알고 싶었다.
1419	I can't describe my sadness.	나의 슬픔을 뭐라 표현할 수가 없네.
603	Always cite your sources.	항상 네 자료를 인용하도록 해.
2036	What happened to all those people?	저기 단체로 무슨 일이야?
3535	Tom's explanation was too complex.	톰은 너무 복잡하게 설명해.
1130	Don't say something you'll regret later.	네가 나중에 후회할 만한 말은 하지마.
3236	This is a very useful tool.	이건 아주 유용한 도구야.
3460	I'm quite happy here.	난 여기 꽤 만족스러워.
1238	Since there is no air on the moon, there is no sound at all.	달에는 공기가 없으니까 소리도 전혀 없어.
3610	I've never played tennis with Tom.	난 톰이랑 테니스 쳐 본 적이 없어.
992	I think this is Tom's house.	이건 톰의 집인 것 같아.
602	I'm beginning to forget my French.	난 프랑스어를 잊어버리기 시작했어.
3005	I don't want Tom to move to Boston.	나는 톰이 보스턴으로 이사하는 것을 원하지 않아.
2806	I want to learn to defend myself.	나는 내 자신을 방어하는 법을 배우고 싶어.
294	Tom was the one who wrote this story.	톰이 이 이야기를 쓴 사람이었어.
3266	I love this school.	난 이 학교를 좋아해.
3814	I shouldn't've eaten that.	난 그걸 먹지 말았어야 했어.
1020	I intend to decline his offer to help me.	날 도와주겠다는 그의 제안은 거절할 생각이다.
74	Tom sat two rows ahead of me.	탐은 나보다 2줄 앞에 앉았다.
2361	Don't lie. Be honest.	거짓말 하지 말고, 솔직해져 봐.
1114	I saw him reading a book.	나는 그 사람이 책을 읽는 걸 봤어.
2080	Tom wondered what Mary wanted to do.	톰이 메리가 뭘 원하는지 굼금해하더라.
329	We never should've gone to Australia.	우린 절대 호주에 가지 말았어야 했는데.
491	Tom is working as a software engineer.	톰은 소프트웨어 기술자로서 일하고 있어.
777	We can buy it.	이건 우리가 살 수 있어.
1357	I think that Tom knows something.	톰이 뭔가를 알고 있는 것 같아.
743	Tom is a very dedicated actor.	톰은 아주 헌신적인 배우야.
2883	I'm too old to wear something like that.	난 저런 옷을 입기엔 너무 늙었어.
1398	Tom doesn't look so well.	탐은 그다지 좋아보이지 않는다.
2154	I should've cooked the pork longer.	돼지고기를 더 구웠어야 했는데.
945	I'm extremely shy.	난 극히 낯을 가려.
1617	I've had a thing for rabbits ever since.	나는 그때부터 토끼에게 끌리기 시작했다.
205	Tom will be there to meet you.	톰이 너를 만나러 거기에 갈 거야.
1495	I was quite lucky.	난 꽤 운이 좋았었어.
831	Tom came back home after dark.	톰은 어두워진 후에 집에 돌아왔어.
8	I have to ask Tom a question.	톰에게 물어볼 것이 있습니다.
546	Tom's only been a widower for six months.	톰은 홀로 된지 6개월밖에 지나지 않았다.
2269	Tom suffers from chronic back pain.	톰은 만성 요통에 시달리고 있어.
1653	Is there something you want to say?	뭐 할 말이라도 있냐고.
3586	Please tell me when he arrives here.	그가 여기에 오면 저한테 말해주세요.
2572	There is no limit to human desire.	인간의 욕구는 끝이 없어.
1074	Tom wants to learn how to play piano.	톰은 피아노 치는 법을 배우고 싶어해.
1161	Silver is worth less than gold.	은이 금보다 가치가 낮아.
2875	I baked Tom a cake.	나는 톰에게 케이크를 구워줬다.
3680	What do you think of Tom's new car?	톰의 새로운 자동차에 대해 어떻게 생각해?
2689	I don't understand you.	선생님의 말씀은 이해가 안 됩니다.
2116	There are some important questions that science cannot answer.	과학이 답변할 수 없는 몇 가지 중요한 질문들이 있어.
351	Everybody wants permanent peace.	모두가 영원한 평화를 원한다.
3491	It's nothing I can't handle.	내가 감당할 수 있어.
3017	Have you ever seen Tom laugh?	톰이 웃은 걸 한번이라도 본 적 있어?
3308	Are these yours, Tom?	탐, 이것들이 너의 것이야?
361	I'm sorry I left without you.	너 빼고 가버려서 미안해.
1343	Do you know why I'm here?	내가 왜 여기있는지 알아?
3842	Tom learned to swim last summer.	톰은 지난 여름에 수영하는 법을 배웠어.
801	Which do you like better, meat or fish?	고기랑 생선 둘 중 뭐가 좋아?
3744	Tom says you're lonely.	톰이 말하길 네가 외로워한대.
2864	Why do we dream?	왜 우리는 꿈을 꿔?
3341	Will you help us now?	이제 우릴 도와줄 거야?
2031	Can you tell me more about the person you saw?	네가 본 사람에 대해 더 말해줄래?
1355	Feeling chilly, I turned on the heater.	한기를 느껴서 히터를 켰다.
1523	Do you know the name of the girl who was with Tom?	너 톰이랑 같이 있었던 여자애 이름 알아?
2845	That was the only way we could do that.	그게 우리가 할 수 있는 유일한 방법이었습니다.
2516	Bullying and teasing aren't allowed here.	따돌림과 괴롭힘은 이곳에선 허용되지 않아.
1748	Tom is allowed to stay. The rest of you have to leave.	톰은 남아 있어도 돼. 너희 나머지는 나가야 해.
3767	Who's the most intelligent person you know?	네가 아는 사람 중에서 누가 가장 머리가 좋은 사람이야?
1873	My father is suffering from influenza.	우리 아빠는 인플루엔자에 걸려 있어.
951	I take care of my grandfather.	나는 할아버지를 돌보고 있어.
598	They both speak French.	둘 다 프랑스어를 할 줄 알아.
3824	Tom has an addictive personality.	톰은 중독 성향이 있어.
875	This room is too dark.	이 방은 너무 어두워.
1140	Tom asked Mary to go home early.	톰이 메리한테 집에 일찍 가라고 부탁했어.
2879	There are many books in my room.	내 방에는 책이 정말 많아.
3514	That'll teach you a lesson.	그건 너한테 교훈을 줄 거야.
2720	Tom learns French as well.	톰도 마찬가지로 프랑스어 배워.
365	I'm having a hard time with German grammar.	독일어 문법에 어려움을 겪는 중이야.
109	Did you get a chance to talk with Tom?	톰과 대화할 기회라도 생겼어?
1354	I want to be a leader that people can respect.	난 사람들이 존경할 수 있는 지도자가 되고 싶어.
2713	I can both sing and dance.	나는 노래도 부를 줄 알고 춤도 출 줄 알아.
3652	I don't think that Tom will be doing that.	톰이 저걸 하고 있을 것 같진 않은데.
1687	I thought Tom would be lonely.	난 톰이 외로울 거라고 생각했어.
942	Foxes are my favorite animal.	여우는 내가 가장 좋아하는 동물이야.
796	That made me curious.	저게 날 궁금하게 만드네.
3540	I tried to act standoffish.	난 도도한 척 하려고 노력했어.
2511	I have to introduce Tom to the manager.	나는 톰을 매니저에게 소개시켜줘야 합니다.
3789	Perhaps you should tell Tom.	아마 너는 톰에게 말해야 해.
1069	I may be too old.	난 아마 너무 늙었어.
2754	Tom was standing outside the window, listening to Mary and John talking.	톰은 메리와 존이 말하는 것을 들으며 창문 밖에 서 있었다.
2445	Tom is so irresponsible. I can't believe it.	톰은 정말 무책임하다. 믿기지 않을 정도로.
1536	Tom baked three pies.	톰은 파이를 세개 구웠어.
1079	You still look depressed.	너 아직도 우울해 보여.
77	I need to buy something to eat.	난 먹을 만한 것 좀 사야겠어.
495	He kept me waiting.	그는 나를 기다리게 했다.
2283	No one recognized me.	아무도 날 알아보지 못 했어.
2914	I was popular in high school.	난 고등학교에서 인기가 있었어.
2829	Tom likes butter too much.	톰은 버터를 너무 좋아하네.
3121	If I tell the truth, I'll be killed.	내가 만약 진실을 말하면 난 살해 당할 거야.
3831	What's the horse's name?	그 말의 이름이 뭐야?
2324	How many times do I need to repeat it?	몇 번을 반복해야 하나요?
3551	I'm happiest when I'm singing.	난 노래 부르고 있을 때가 가장 행복해.
1195	I had to work overtime yesterday.	나는 어제 야근을 해야 했어.
884	The cause of the accident is unknown.	사고의 원인은 알려지지 않았어.
2063	I don't feel anything at all.	아무런 느낌도 안 나.
1835	Tom didn't study for his final exam.	톰은 기말 시험 공부를 안했어.
2014	I'm sorry to bother you so often.	자꾸 귀찮게 해서 미안해.
866	Why didn't you use a pay phone?	공중전화를 왜 사용하지 않았니?
3265	Tom is getting coffee.	톰은 커피를 마시고 있어.
2086	The water flows under the bridge.	물은 다리 밑으로 흐르고 있어.
1269	I've been kidnapped.	나 유괴 당한 적 있어.
3463	Tom didn't tell Mary why he had to work late.	톰은 메리에게 왜 그가 늦게까지 일해야 했는지 알려주지 않았다.
2513	I don't like talking with Tom.	난 톰이랑 대화하는 걸 좋아하지 않아.
730	You're not mad at me anymore, are you?	너 더 이상 나한테 화내지 않는 거지?
3315	I thought you might be lonely, so I came over with a bottle of wine.	니가 좀 외로울 것 같아서 내가 와인 한 병을 들고 왔지.
3827	I like learning languages.	난 언어를 배우는 걸 좋아해.
1086	I was afraid I might be late.	내가 혹시 늦을까봐 걱정했었어.
545	Everybody needs to be quiet.	모두 조용히 해야 한다.
3472	Tom kicked the ball really hard.	톰은 정말 세게 공을 찼습니다.
1548	I hope you tore up my last letter.	내 마지막 편지는 찢어 버렸길 바란다.
1282	I'm glad to hear Tom did that.	톰이 그걸 했다고 하니 기뻐.
1452	That's why I can't help you.	이게 바로 내가 널 도와줄 수 없는 이유야.
2025	Have you ever been to Canada?	캐나다에 가본 적 있어?
3166	This isn't our final destination.	이게 우리의 최종 목표가 아냐.
3418	I regret that I did not work harder.	난 더 열심히 안 한 걸 후회하고 있어.
647	Is there anything you want us to send you from home?	우리가 집에서 너에게 보내줬으면 하는 거 없니?
1831	He kissed his daughter on the forehead.	그는 그의 딸 이마에 뽀뽀를 했다
3379	I major in economics.	난 경제학을 전공하고 있어.
1868	My mother said that she was all right.	우리 엄마가 그 사람은 괜찮다고 말했어.
2976	The cost of the book is five dollars.	이 책의 가격은 5 달러야.
2049	We'll be right here.	우린 바로 여기에 있을 거야.
529	I'll give this to Tom.	내가 이 것을 톰에게 줄거야.
379	Tom was three when his mother was killed in a traffic accident.	톰은 어머님이 교통사고로 돌아가셨을 때 세 살이었어.
3216	The room is crawling with spiders.	방에는 거미들이 기어다니고 있어.
1776	These scissors don't cut well.	이 가위 잘 안들어요.
2288	I should've told you everything earlier.	너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.
2155	That's just about it.	이건 그냥 그거에 관한 거야.
1553	Tom learned to dive when he was thirteen.	톰은 열 세살일 때 잠수하는 법을 배웠어.
3802	Why does everybody think Tom and I are stupid?	왜 다들 나랑 톰이 멍청하다고 생각해?
413	I heard that Tom attempted suicide.	톰이 자살을 시도했다고 들었어.
1309	Is there something that you want to tell me?	뭔가 할 말이 있니?
2617	Tom doesn't want to get into trouble.	톰은 말썽에 휘말리고 싶어하지 않았지.
464	You're very astute.	넌 참 눈치가 빠르네.
1373	I felt very isolated.	난 아주 고립된 기분이었어.
3387	Tom is married to a Canadian named Mary.	톰은 메리라는 캐나다인과 결혼했어.
2635	This dictionary is mine.	이 사전은 내 것이다.
111	Everyone wants to go to heaven, but nobody wants to die.	모두 천국에 가고 싶어 하나, 누구도 죽고 싶어 하지 않는다.
835	Are you trying to hit on me?	지금 나를 유혹하는 거야?
1037	How many years did you live in Australia?	몇년 동안 호주에 살았어?
259	I run faster than Tom.	나는 톰보다 빠르게 달릴 수 있어.
221	I go to school by subway.	난 지하철로 학교에 가.
3500	That's my main focus.	그게 내 주된 관심사야.
391	You two are adorable!	너희 둘 정말 귀엽네!
3388	I hope Tom is coming.	톰이 오고 있길 바라.
