	eng	rus
40687	Tom did his job.	Том сделал свою работу.
48686	That's why I came.	Я за этим и пришла.
10053	I drive to work.	Я еду на работу.
22604	I said get out!	Я сказал, убирайтесь!
32929	He has a hat on.	У него на голове шляпа.
24238	I'm not sure yet.	Я пока не уверен.
15772	I have black hair.	У меня тёмные волосы.
37805	Tom must be tired.	Том, наверное, устал.
36317	I saw Tom crying.	Я видел Тома плачущим.
3076	I want them all.	Я хочу их всех.
13361	I said I'd do it.	Я сказал, что сделаю это.
25231	It costs too much.	Она слишком дорого стоит.
21404	My house is dirty.	У меня в доме грязно.
19687	I want you to die.	Я хочу, чтобы вы умерли.
9033	I study every day.	Я каждый день занимаюсь.
39258	I said stop it!	Я сказал, прекратите!
19815	I did see it.	Я это действительно видел.
42596	We all miss you.	Мы все по вам скучаем.
3954	Don't wait here.	Не надо здесь ждать.
8782	Tom likes to bowl.	Тому нравится играть в боулинг.
2243	I think I'm ugly.	Мне кажется, я некрасивая.
17760	They had no food.	У них не было еды.
3556	Why do you care?	Почему тебя это волнует?
39126	He must be tired.	Он, должно быть, уставший.
26904	That would be sad.	Это было бы печально.
34536	What did we miss?	Чего нам не хватает?
12746	Is that true, Tom?	Том, это правда?
16846	I'm not buying it.	Я на это не поведусь.
9764	Tom needs my help.	Том нуждается в моей помощи.
10286	I can't do this.	Я не могу этого сделать.
37599	Tom told me that.	Том мне так сказал.
15124	I'm going by bus.	Я еду на автобусе.
17604	I'm with Tom now.	Я сейчас с Томом.
30010	We did our jobs.	Мы делали свою работу.
31633	I can't stand it.	Я терпеть этого не могу.
33953	Put it on my desk.	Поставьте её мне на стол.
28493	I hate this city.	Я ненавижу этот город.
48786	Tom won't call me.	Том меня не позовёт.
23927	My car was stolen.	У меня угнали машину.
46128	She won't make it.	У неё ничего не выйдет.
36870	We met in Boston.	Мы познакомились в Бостоне.
46884	No one loves war.	Никто не любит войну.
18209	I still like you.	Вы мне всё ещё нравитесь.
10892	I'll do anything.	Я что угодно сделаю.
32406	Don't do it again.	Больше так не делай.
32078	I didn't hear it.	Я этого не слышал.
265	That's why I came.	Я поэтому и пришёл.
36398	Can you find her?	Вы можете найти её?
26809	Tom lives with us.	Том живёт с нами.
40090	Can we do that?	Мы можем это сделать?
4321	No one likes it.	Никому это не нравится.
32159	I can't keep it.	Я не могу его оставить.
45036	I want much more.	Я хочу значительно больше.
12274	Do you love me?	Любишь ли ты меня?
21970	Tom couldn't help.	Том не смог бы помочь.
21088	I think Tom is in.	Думаю, Том внутри.
36906	We have no sugar.	У нас нет сахара.
19796	He was very happy.	Он был очень счастлив.
21249	I have work to do.	У меня есть кое-какая работа.
45105	Didn't you see it?	Ты его не видел?
23030	I want to eat it.	Я хочу его съесть.
22507	I knew Tom well.	Я хорошо знал Тома.
30450	Put it on my tab.	Запиши это на мой счёт.
47804	May I see Tom?	Могу я увидеть Тома?
32463	I took Tom's side.	Я принял сторону Тома.
26738	We won't need it.	Она нам не понадобится.
22917	I've got news.	У меня есть новости.
8226	His car was empty.	Его автомобиль был пуст.
49671	Tom isn't my boss.	Том не мой начальник.
45805	You'll miss me.	Тебе будет меня не хватать.
37664	I have a husband.	У меня есть муж.
35945	I didn't call Tom.	Я не звала Тома.
35766	I did it once.	Я сделал это один раз.
25497	I have short hair.	У меня короткая стрижка.
16198	I didn't need Tom.	Том был мне не нужен.
46169	May I put it here?	Можно я его сюда положу?
9510	I know who's who.	Я знаю, кто есть кто.
23921	I want a waterbed.	Я хочу водяную кровать.
45862	I was all ears.	Я превратился в слух.
13133	I don't need you.	Ты мне не нужен.
45733	Yes, we can go.	Да, мы можем ехать.
21942	I was very drunk.	Я была сильно пьяна.
48708	I won the event.	Я победил в этом мероприятии.
9945	I don't mean you.	Я не вас имею в виду.
29613	Do you read lips?	Вы читаете по губам?
25954	I know you did it.	Я знаю, что ты это сделал.
19749	I have to find it.	Мне надо его найти.
49466	He has a bicycle.	У него есть велосипед.
42183	Can I rely on you?	Могу я на тебя положиться?
30133	Now, where was I?	Так на чём я остановился?
10621	Just put it here.	Просто положите её здесь.
43612	Tom wasn't rich.	Том не был богатым.
18556	I finally gave up.	Я в конце концов сдался.
10795	Tom eats too fast.	Том слишком быстро ест.
45920	Tom is dozing off.	Том спит на ходу.
45237	Say it's not so.	Скажи, что это не так.
23348	I know your son.	Я знаком с твоим сыном.
34394	No one saw me.	Меня никто не видел.
10754	Tom is your age.	Том - твой ровесник.
17324	I hope Tom knows.	Надеюсь, Том знает.
25440	I know it's wrong.	Я знаю, что это плохо.
47399	OK, I'll help.	Ладно, я помогу.
4117	I'm not creative.	Я не творческий человек.
35452	I didn't succeed.	У меня ничего не вышло.
18091	You agreed to it.	Ты на это согласился.
12640	Tom has a man-bun.	Том завязывает волосы в пучок.
15041	I must have this.	Я должен владеть этим.
6211	Let me help you.	Позвольте мне помочь вам.
7071	I'll ask him.	Я у него попрошу.
21920	Take a break, Tom.	Сделай перерыв, Том.
1610	Tom didn't go far.	Том далеко не ушёл.
3865	We all hate you.	Мы все вас ненавидим.
27034	How'd you find it?	Как бы ты её нашёл?
33398	Do you have a gun?	У вас есть пистолет?
22448	I don't know that.	Я этого не знаю.
24353	I need my key.	Мне нужен мой ключ.
20512	I know this game.	Я знаю эту игру.
42765	Cut it in half.	Разрежьте его на две части.
47097	My left arm hurts.	У меня болит левая рука.
7757	I'm glad you came.	Я рад, что ты пришёл.
37528	Let me carry it.	Давай я его понесу.
47459	Go see how Tom is.	Пойди посмотри, как там Том.
19462	Who'd you invite?	Кого бы ты пригласил?
25602	Help me to do it.	Помогите мне это сделать.
33304	Who's that boy?	Что это за мальчик?
21172	That's why I came.	Я поэтому и пришла.
37697	He found my bike.	Он нашёл мой велосипед.
48768	I don't feel sick.	Я не чувствую себя больным.
17389	I've seen a lot.	Я много чего видела.
46494	We chose this one.	Мы выбрали вот эту.
9878	I saw Tom there.	Я видел там Тома.
35479	I have to buy one.	Мне надо один купить.
4531	Let me do that.	Позвольте мне это сделать.
28356	I had them both.	У меня они оба были.
15457	I'd be angry, too.	Я бы тоже была сердита.
7063	So, what's next?	Ну, что дальше?
24779	Tom wouldn't care.	Тому было бы всё равно.
40419	I need more help.	Мне нужна ещё помощь.
49636	Tom wasn't right.	Том был не прав.
5103	Take the next bus.	Садись на следующий автобус.
43838	Can I borrow this?	Можно мне это одолжить?
28246	Tom knew about it.	Том об этом знал.
37481	I love your voice.	Я обожаю твой голос.
35431	I am still alone.	Я всё еще один.
46399	I knew who he was.	Я знал, кем он был.
36861	I still need help.	Мне ещё нужна помощь.
41694	Take it easy, Tom.	Не принимай близко к сердцу, Том.
2541	I miss my friends.	Я скучаю по своим друзьям.
30698	It might be Tom.	Это мог быть Том.
42196	Boston is my home.	Бостон — мой дом.
30017	I know many women.	Я знаю много женщин.
17780	I helped Tom up.	Я помог Тому встать.
32920	Tom, are you okay?	Том, ты в порядке?
25601	Well, I lied.	Ну хорошо, я соврал.
8922	Hey, it's me.	Эй, это я.
7268	Say it's not so.	Скажите, что это не так.
41544	What do you have?	Что у вас есть?
27586	I love this town.	Я обожаю этот город.
28866	We could talk now.	Мы могли бы сейчас поговорить.
24158	I said let Tom go.	Я сказал, отпусти Тома.
14420	Glad you like it.	Рад, что тебе нравится.
48240	Let's begin, then.	В таком случае начнём.
34243	Can't you help us?	Ты не можешь нам помочь?
14173	I may not return.	Я могу не вернуться.
20377	I wasn't busy.	Я был не занят.
31794	I have it at home.	У меня дома она есть.
42062	I'm good at it.	Я в этом силён.
32546	I've got beer.	У меня есть пиво.
19931	We're on the air.	Мы в прямом эфире.
22673	He shot at me.	Он в меня выстрелил.
48464	My shoes are gone.	У меня пропали ботинки.
13649	I need Tom here.	Мне нужен Том здесь.
36831	How kind of you!	Как мило с вашей стороны!
49527	I said drop it!	Я сказала, брось!
21903	I think it's Tom.	Я думаю, это Том.
44552	We can't tell Tom.	Мы не можем сказать Тому.
25870	I just noticed it.	Я её только что заметил.
37593	I have a blue car.	У меня синяя машина.
38466	He has a maid.	У него есть горничная.
37882	I like modern art.	Я люблю современное искусство.
9530	He cannot stop it.	Он не может её остановить.
49871	It was a busy day.	Это был напряжённый день.
39767	We can fix this.	Мы можем это починить.
34726	I'm finally safe.	Я наконец в безопасности.
42873	Tom can go first.	Том может пойти первым.
23104	I could kill you.	Я могла бы вас убить.
40830	I feel very happy.	Я чувствую себя очень счастливым.
178	I have a cold now.	У меня сейчас простуда.
7746	Don't ask me.	Это не ко мне.
21479	Tom had a beer.	У Тома было пиво.
43759	She is mad at me.	Она на меня злится.
17629	I don't like her.	Мне она не нравится.
39171	Don't forget it.	Не забудь об этом.
35447	Let's go sledding.	Пойдём покатаемся на санках.
49997	Tom stole my idea.	Том украл у меня идею.
10486	I've got a plan.	У меня есть план.
46285	I don't like dogs.	Мне не нравятся собаки.
36420	He saved my life.	Он спас мне жизнь.
22001	Have you gone mad?	У тебя крыша поехала?
28890	I have a diploma.	У меня есть диплом.
18985	He stayed up late.	Он допоздна не ложился.
31256	Now listen to me.	А теперь послушайте меня.
1680	I don't mind.	Я ничего не имею против.
46644	I didn't hire Tom.	Я не брал Тома на работу.
36026	I'll be in town.	Я буду в городе.
9957	Tom won't hurt us.	Том не причинит нам вреда.
30056	I miss Tom a lot.	Я очень скучаю по Тому.
2794	You owe me money.	Вы должны мне деньги.
24341	Do what Tom asks.	Делайте, что Том просит.
31203	I can come, too.	Я тоже могу прийти.
38925	Do you have money?	У тебя деньги есть?
48410	I've just eaten.	Я только что поел.
10426	I miss Tom a lot.	Мне очень не хватает Тома.
13416	Isn't Tom hungry?	Том есть не хочет?
41235	Even I can sing.	Даже я умею петь.
45868	I don't deny it.	Я этого не отрицаю.
49513	I like modern art.	Мне нравится современное искусство.
2885	I love you both.	Я люблю вас обеих.
16468	I wasn't scared.	Я не был испуган.
13334	It couldn't wait.	Это не могло ждать.
4433	Its color is red.	Цвет у неё красный.
31073	I was very poor.	Я была очень бедна.
32776	I just had dinner.	Я только что поужинал.
40658	I like this part.	Мне нравится эта часть.
399	Tom must be angry.	Том, должно быть, зол.
32955	I didn't need you.	Вы мне не понадобились.
24680	I think I'm right.	Думаю, я прав.
7233	How do I fix that?	Как мне это починить?
17052	This was my idea.	Это была моя идея.
35439	I truly mean that.	Я искренне имею это в виду.
9301	This isn't my dog.	Это не моя собака.
33675	What'd I do?	Что бы я стал делать?
9802	I want you to go.	Я хочу, чтобы ты поехал.
31499	Come and see this.	Идите посмотрите на это.
25037	I won't ask.	Я не буду спрашивать.
45018	I'm bad at sports.	У меня не ладится со спортом.
43477	You saved us all.	Ты нас всех спас.
7708	That's what I did.	Я так и сделал.
27361	Was that too much?	Это было слишком много?
44023	I saw you smiling.	Я видел, как ты улыбалась.
18888	The ship set sail.	Корабль отправился в плавание.
9449	Tom was a bad boy.	Том был плохим мальчиком.
10174	Am I making sense?	Мои слова имеют смысл?
22092	I never saw you.	Я тебя никогда не видела.
2888	I said good night.	Я сказал, спокойной ночи.
7648	She may not come.	Она может не прийти.
24385	I hired Tom back.	Я снова взял Тома на работу.
34697	I can manage this.	Я могу справиться с этим.
17334	I must warn Tom.	Я должен предупредить Тома.
23799	That's not my job.	Это не моя работа.
16670	I can't go.	Я не смогу пойти.
11164	I didn't see them.	Я их не видел.
48681	I must see you.	Я должна увидеть тебя.
37929	You can't swim.	Вы не умеете плавать.
15185	I'm not your son.	Я не ваш сын.
40294	I called him Tom.	Я назвал его Томом.
20800	I didn't need it.	Она не была мне нужна.
34009	I won't go back.	Я не пойду обратно.
44100	May I put it here?	Можно я его сюда поставлю?
44614	Mom, I'm home.	Мам, я дома.
21779	Tom wouldn't eat.	Том не стал есть.
3796	I know I'm crazy.	Я знаю, что я сумасшедшая.
20220	She must go there.	Она должна туда поехать.
27890	I can find them.	Я могу найти их.
45540	I live with Tom.	Я живу с Томом.
38522	How could Tom win?	Как Том мог выиграть?
19723	Go say hi to Tom.	Пойди поздоровайся с Томом.
3320	May God bless you.	Да благословит вас Господь!
47730	I go to the park.	Я хожу в парк.
3487	Tom was too weak.	Том был слишком слаб.
9523	I couldn't refuse.	Я не мог отказать.
36016	That's old news.	Это я уже слышал.
11145	I had to see you.	Мне надо было вас увидеть.
38574	I'm all alone now.	Я теперь совсем один.
13	I hit on an idea.	Мне пришла в голову одна мысль.
35714	I'll ignore that.	Я не буду обращать на это внимания.
6144	Is your car black?	У тебя чёрная машина?
3834	I wouldn't care.	Мне было бы всё равно.
19464	I heard you, too.	Я тебя тоже слышал.
