fuñir,fuñó,1b
tropezar,tropezó,0a*
enguatar,enguató,0a*
menar,menó,0a*
pergeñar,pergeñó,0a*
metilar,metiló,0a*
humidificar,humidificó,0a*
desenfadar,desenfadó,0a*
magullar,magulló,0a*
enraizar,enraizó,0a*
afortunar,afortunó,0a*
torrar,torró,0a*
parlamentar,parlamentó,0a*
agavillar,agavilló,0a*
coadyuvar,coadyuvó,0a*
desconsolidar,desconsolidó,0a*
asaltar,asaltó,0a*
pepenar,pepenó,0a*
brutalizar,brutalizó,0a*
manar,manó,0a*
molestar,molestó,0a*
prohijar,prohijó,0a*
crevar,crevó,0a*
desflecar,desflecó,0a*
almacenar,almacenó,0a*
extremar,extremó,0a*
enchilar,enchiló,0a*
transformar,transformó,0a*
islamizar,islamizó,0a*
encofrar,encofró,0a*
alijar,alijó,0a*
valsar,valsó,0a*
hermetizar,hermetizó,0a*
pretextar,pretextó,0a*
toldar,toldó,0a*
endiñar,endiñó,0a*
manipular,manipuló,0a*
engarruchar,engarruchó,0a*
monitorizar,monitorizó,0a*
deseleccionar,deseleccionó,0a*
normar,normó,0a*
festonar,festonó,0a*
lotificar,lotificó,0a*
explayar,explayó,0a*
estribar,estribó,0a*
devorar,devoró,0a*
engolfar,engolfó,0a*
lijar,lijó,0a*
desovillar,desovilló,0a*
rastrar,rastró,0a*
hermandar,hermandó,0a*
relegar,relegó,0a*
postensar,postensó,0a*
herrar,herró,0a*
representar,representó,0a*
destilar,destiló,0a*
aromatizar,aromatizó,0a*
mancornar,mancornó,0a*
interiorizar,interiorizó,0a*
alocar,alocó,0a*
acedar,acedó,0a*
condicionar,condicionó,0a*
objetar,objetó,0a*
achaflanar,achaflanó,0a*
afinar,afinó,0a*
desencantar,desencantó,0a*
giroelongar,giroelongó,0a*
mirar,miró,0a*
calcar,calcó,0a*
señalizar,señalizó,0a*
pasteurizar,pasteurizó,0a*
emancipar,emancipó,0a*
repolarizar,repolarizó,0a*
integrar,integró,0a*
biodiversificar,biodiversificó,0a*
campeonar,campeonó,0a*
lalar,laló,0a*
enjalbegar,enjalbegó,0a*
contraatacar,contraatacó,0a*
parametrizar,parametrizó,0a*
acitronar,acitronó,0a*
desquebrajar,desquebrajó,0a*
alfombrar,alfombró,0a*
desacomodar,desacomodó,0a*
amputar,amputó,0a*
desvenar,desvenó,0a*
victimizar,victimizó,0a*
acrecentar,acrecentó,0a*
novelar,noveló,0a*
deslindar,deslindó,0a*
reautorizar,reautorizó,0a*
diabolizar,diabolizó,0a*
desperezar,desperezó,0a*
explanar,explanó,0a*
asemejar,asemejó,0a*
achispar,achispó,0a*
minusvalorar,minusvaloró,0a*
engrilletar,engrilletó,0a*
remolcar,remolcó,0a*
acreditar,acreditó,0a*
obispar,obispó,0a*
repuntar,repuntó,0a*
circunvalar,circunvaló,0a*
ametrallar,ametralló,0a*
enlistar,enlistó,0a*
descaminar,descaminó,0a*
reportar,reportó,0a*
aerar,aeró,0a*
avituallar,avitualló,0a*
acosar,acosó,0a*
alejar,alejó,0a*
crotorar,crotoró,0a*
polemizar,polemizó,0a*
achatarrar,achatarró,0a*
defensar,defensó,0a*
preestrenar,preestrenó,0a*
desacostumbrar,desacostumbró,0a*
contrademandar,contrademandó,0a*
disculpar,disculpó,0a*
sonsacar,sonsacó,0a*
resanar,resanó,0a*
encastrar,encastró,0a*
ventilar,ventiló,0a*
piafar,piafó,0a*
orbitar,orbitó,0a*
reagrupar,reagrupó,0a*
encalmar,encalmó,0a*
zonificar,zonificó,0a*
dovelar,doveló,0a*
reenergizar,reenergizó,0a*
rebanar,rebanó,0a*
impresionar,impresionó,0a*
rasterizar,rasterizó,0a*
potabilizar,potabilizó,0a*
hesitar,hesitó,0a*
reptar,reptó,0a*
adamar,adamó,0a*
rebujar,rebujó,0a*
almagrar,almagró,0a*
alumbrar,alumbró,0a*
nombrar,nombró,0a*
desfragmentar,desfragmentó,0a*
vaticinar,vaticinó,0a*
apelotar,apelotó,0a*
cargar,cargó,0a*
encallar,encalló,0a*
renacionalizar,renacionalizó,0a*
conspirar,conspiró,0a*
platicar,platicó,0a*
recertificar,recertificó,0a*
atollar,atolló,0a*
transcodificar,transcodificó,0a*
publicitar,publicitó,0a*
experimentar,experimentó,0a*
mitigar,mitigó,0a*
instilar,instiló,0a*
deformar,deformó,0a*
sobrevalorar,sobrevaloró,0a*
expedientar,expedientó,0a*
denotar,denotó,0a*
reversionar,reversionó,0a*
deshonrar,deshonró,0a*
denegar,denegó,0a*
desequilibrar,desequilibró,0a*
procrastinar,procrastinó,0a*
mundializar,mundializó,0a*
nacionalizar,nacionalizó,0a*
ferrar,ferró,0a*
masacrar,masacró,0a*
churruscar,churruscó,0a*
desollar,desolló,0a*
ruralizar,ruralizó,0a*
radicar,radicó,0a*
defeccionar,defeccionó,0a*
degradar,degradó,0a*
rediseñar,rediseñó,0a*
magnetizar,magnetizó,0a*
engendrar,engendró,0a*
desflorar,desfloró,0a*
chotar,chotó,0a*
pulimentar,pulimentó,0a*
imperar,imperó,0a*
chorizar,chorizó,0a*
lignificar,lignificó,0a*
despachar,despachó,0a*
canalizar,canalizó,0a*
sofisticar,sofisticó,0a*
empenachar,empenachó,0a*
hipnotizar,hipnotizó,0a*
ocultar,ocultó,0a*
clorar,cloró,0a*
degenerar,degeneró,0a*
lindar,lindó,0a*
deportar,deportó,0a*
cofabricar,cofabricó,0a*
titilar,titiló,0a*
arrematar,arremató,0a*
valorar,valoró,0a*
pinzar,pinzó,0a*
rezagar,rezagó,0a*
cuatriplicar,cuatriplicó,0a*
secundar,secundó,0a*
bisar,bisó,0a*
trabajar,trabajó,0a*
impurificar,impurificó,0a*
readiestrar,readiestró,0a*
profetizar,profetizó,0a*
ahumar,ahumó,0a*
imaginar,imaginó,0a*
trasbordar,trasbordó,0a*
desengrasar,desengrasó,0a*
alivianar,alivianó,0a*
conculcar,conculcó,0a*
trefilar,trefiló,0a*
ayustar,ayustó,0a*
estragar,estragó,0a*
accidentar,accidentó,0a*
analizar,analizó,0a*
tatemar,tatemó,0a*
supeditar,supeditó,0a*
diplomar,diplomó,0a*
arcillar,arcilló,0a*
preaprobar,preaprobó,0a*
descuajar,descuajó,0a*
acastillar,acastilló,0a*
cuajar,cuajó,0a*
invocar,invocó,0a*
indemnizar,indemnizó,0a*
anexar,anexó,0a*
opositar,opositó,0a*
aplazar,aplazó,0a*
desnudar,desnudó,0a*
desrabotar,desrabotó,0a*
colindar,colindó,0a*
asechar,asechó,0a*
expectar,expectó,0a*
enajenar,enajenó,0a*
esprintar,esprintó,0a*
feminizar,feminizó,0a*
reorientar,reorientó,0a*
desafilar,desafiló,0a*
gobernar,gobernó,0a*
transladar,transladó,0a*
familiarizar,familiarizó,0a*
reeditar,reeditó,0a*
minimalizar,minimalizó,0a*
hormigonar,hormigonó,0a*
persignar,persignó,0a*
desdorar,desdoró,0a*
envergar,envergó,0a*
alborozar,alborozó,0a*
delaminar,delaminó,0a*
deliberar,deliberó,0a*
fervorizar,fervorizó,0a*
reintentar,reintentó,0a*
liberar,liberó,0a*
librar,libró,0a*
espinar,espinó,0a*
escayolar,escayoló,0a*
encelar,enceló,0a*
anisar,anisó,0a*
satanizar,satanizó,0a*
magnificar,magnificó,0a*
aglomerar,aglomeró,0a*
propasar,propasó,0a*
desvincular,desvinculó,0a*
verticalizar,verticalizó,0a*
podemizar,podemizó,0a*
amedrentar,amedrentó,0a*
humillar,humilló,0a*
desayunar,desayunó,0a*
titularizar,titularizó,0a*
glosar,glosó,0a*
medicalizar,medicalizó,0a*
rebozar,rebozó,0a*
depravar,depravó,0a*
refacturar,refacturó,0a*
balotar,balotó,0a*
confitar,confitó,0a*
reivindicar,reivindicó,0a*
declamar,declamó,0a*
revolcar,revolcó,0a*
ensartar,ensartó,0a*
masticar,masticó,0a*
carnavalizar,carnavalizó,0a*
pichar,pichó,0a*
proliferar,proliferó,0a*
yugular,yuguló,0a*
rebrotar,rebrotó,0a*
engrasar,engrasó,0a*
aquietar,aquietó,0a*
alquitranar,alquitranó,0a*
reparar,reparó,0a*
espalar,espaló,0a*
preconvocar,preconvocó,0a*
sajar,sajó,0a*
acanalar,acanaló,0a*
labrar,labró,0a*
contestar,contestó,0a*
cosechar,cosechó,0a*
diseminar,diseminó,0a*
preprocesar,preprocesó,0a*
adicionar,adicionó,0a*
descompresionar,descompresionó,0a*
insubordinar,insubordinó,0a*
conversar,conversó,0a*
encorajinar,encorajinó,0a*
desplumar,desplumó,0a*
desdramatizar,desdramatizó,0a*
legitimar,legitimó,0a*
espetar,espetó,0a*
enjugar,enjugó,0a*
empapelar,empapeló,0a*
desforzar,desforzó,0a*
encapotar,encapotó,0a*
aflorar,afloró,0a*
planificar,planificó,0a*
arrumar,arrumó,0a*
sollozar,sollozó,0a*
acampanar,acampanó,0a*
aguijar,aguijó,0a*
destocar,destocó,0a*
atrancar,atrancó,0a*
otar,otó,0a*
cotizar,cotizó,0a*
embalar,embaló,0a*
equilibrar,equilibró,0a*
encastar,encastó,0a*
emparedar,emparedó,0a*
destratar,destrató,0a*
desmelenar,desmelenó,0a*
encolerizar,encolerizó,0a*
avasallar,avasalló,0a*
granar,granó,0a*
refaccionar,refaccionó,0a*
apabullar,apabulló,0a*
encostalar,encostaló,0a*
despintar,despintó,0a*
pescar,pescó,0a*
enzarzar,enzarzó,0a*
chufar,chufó,0a*
enjoyar,enjoyó,0a*
abordar,abordó,0a*
espartar,espartó,0a*
asonantar,asonantó,0a*
declinar,declinó,0a*
descorchar,descorchó,0a*
discrepar,discrepó,0a*
justificar,justificó,0a*
desmigajar,desmigajó,0a*
coevolucionar,coevolucionó,0a*
hospitalizar,hospitalizó,0a*
desasnar,desasnó,0a*
entremezclar,entremezcló,0a*
arrollar,arrolló,0a*
especificar,especificó,0a*
avivar,avivó,0a*
transitar,transitó,0a*
contramarchar,contramarchó,0a*
precisar,precisó,0a*
desmilitarizar,desmilitarizó,0a*
emborrachar,emborrachó,0a*
popularizar,popularizó,0a*
gasificar,gasificó,0a*
pesquisar,pesquisó,0a*
pirar,piró,0a*
garbar,garbó,0a*
adueñar,adueñó,0a*
inventar,inventó,0a*
pispar,pispó,0a*
clausurar,clausuró,0a*
dentar,dentó,0a*
decorar,decoró,0a*
injertar,injertó,0a*
desempatar,desempató,0a*
trinar,trinó,0a*
molinar,molinó,0a*
zabordar,zabordó,0a*
sobrellevar,sobrellevó,0a*
quimbar,quimbó,0a*
bobinar,bobinó,0a*
trabar,trabó,0a*
connotar,connotó,0a*
despoblar,despobló,0a*
acordar,acordó,0a*
destronar,destronó,0a*
forcejar,forcejó,0a*
cejar,cejó,0a*
relocalizar,relocalizó,0a*
decolorar,decoloró,0a*
apertrechar,apertrechó,0a*
precarizar,precarizó,0a*
sintonizar,sintonizó,0a*
atar,ató,0a*
robotizar,robotizó,0a*
deforestar,deforestó,0a*
filosofar,filosofó,0a*
reactualizar,reactualizó,0a*
abarcar,abarcó,0a*
encubertar,encubertó,0a*
avecindar,avecindó,0a*
engañar,engañó,0a*
enchapopotar,enchapopotó,0a*
rarificar,rarificó,0a*
delimitar,delimitó,0a*
caçar,caçó,0a*
descampar,descampó,0a*
procesar,procesó,0a*
avulsionar,avulsionó,0a*
profundizar,profundizó,0a*
helar,heló,0a*
poetizar,poetizó,0a*
rebelar,rebeló,0a*
descentrar,descentró,0a*
rasguñar,rasguñó,0a*
forzar,forzó,0a*
vitalizar,vitalizó,0a*
publicar,publicó,0a*
subalimentar,subalimentó,0a*
expansionar,expansionó,0a*
desfigurar,desfiguró,0a*
logar,logó,0a*
canibalizar,canibalizó,0a*
corvar,corvó,0a*
dimanar,dimanó,0a*
pluralizar,pluralizó,0a*
arrimar,arrimó,0a*
exsudar,exsudó,0a*
protonar,protonó,0a*
reverberar,reverberó,0a*
danzar,danzó,0a*
cerchar,cerchó,0a*
deslastrar,deslastró,0a*
recalcar,recalcó,0a*
reperfilar,reperfiló,0a*
abombar,abombó,0a*
elevar,elevó,0a*
capitular,capituló,0a*
compartimentar,compartimentó,0a*
clamar,clamó,0a*
follar,folló,0a*
herbolar,herboló,0a*
sobrecargar,sobrecargó,0a*
trompezar,trompezó,0a*
retrasar,retrasó,0a*
ahitar,ahitó,0a*
desembrollar,desembrolló,0a*
beatificar,beatificó,0a*
nidificar,nidificó,0a*
descontextualizar,descontextualizó,0a*
inspirar,inspiró,0a*
mandatar,mandató,0a*
especializar,especializó,0a*
inmovilizar,inmovilizó,0a*
reactivar,reactivó,0a*
liberalizar,liberalizó,0a*
remasterizar,remasterizó,0a*
emulsionar,emulsionó,0a*
anglicanizar,anglicanizó,0a*
antagonizar,antagonizó,0a*
andaluzar,andaluzó,0a*
encerar,enceró,0a*
desestresar,desestresó,0a*
propagar,propagó,0a*
federalizar,federalizó,0a*
recapturar,recapturó,0a*
anexionar,anexionó,0a*
rebrillar,rebrilló,0a*
tasar,tasó,0a*
rebalsar,rebalsó,0a*
engalgar,engalgó,0a*
inflamar,inflamó,0a*
clasificar,clasificó,0a*
desarraigar,desarraigó,0a*
contextualizar,contextualizó,0a*
revirar,reviró,0a*
escriturar,escrituró,0a*
engastar,engastó,0a*
adorar,adoró,0a*
penetrar,penetró,0a*
agarrar,agarró,0a*
maximizar,maximizó,0a*
soltar,soltó,0a*
lambiscar,lambiscó,0a*
desaliñar,desaliñó,0a*
mojar,mojó,0a*
desembalsar,desembalsó,0a*
deshilar,deshiló,0a*
trastocar,trastocó,0a*
cubanizar,cubanizó,0a*
encomendar,encomendó,0a*
abaluartar,abaluartó,0a*
magular,maguló,0a*
embobar,embobó,0a*
visar,visó,0a*
entomatar,entomató,0a*
difuminar,difuminó,0a*
amusgar,amusgó,0a*
mutilar,mutiló,0a*
desmontar,desmontó,0a*
sesionar,sesionó,0a*
alunizar,alunizó,0a*
adiestrar,adiestró,0a*
acrianzar,acrianzó,0a*
tripular,tripuló,0a*
desfilar,desfiló,0a*
desmantelar,desmanteló,0a*
lematizar,lematizó,0a*
versificar,versificó,0a*
conformar,conformó,0a*
suplicar,suplicó,0a*
pautar,pautó,0a*
monologar,monologó,0a*
trashumar,trashumó,0a*
discar,discó,0a*
estibar,estibó,0a*
angular,anguló,0a*
optar,optó,0a*
apandar,apandó,0a*
recircular,recirculó,0a*
agorar,agoró,0a*
capuzar,capuzó,0a*
cohonestar,cohonestó,0a*
enfrascar,enfrascó,0a*
importar,importó,0a*
amansar,amansó,0a*
renderizar,renderizó,0a*
consolar,consoló,0a*
mentorizar,mentorizó,0a*
recombinar,recombinó,0a*
cristianizar,cristianizó,0a*
desaprobar,desaprobó,0a*
enmasillar,enmasilló,0a*
desenrollar,desenrolló,0a*
interconectar,interconectó,0a*
prefijar,prefijó,0a*
desabrigar,desabrigó,0a*
azuzar,azuzó,0a*
resemblar,resembló,0a*
novelizar,novelizó,0a*
amacollar,amacolló,0a*
emparejar,emparejó,0a*
mercar,mercó,0a*
embragar,embragó,0a*
circular,circuló,0a*
desvalorizar,desvalorizó,0a*
reequipar,reequipó,0a*
enfrentar,enfrentó,0a*
hachar,hachó,0a*
apasionar,apasionó,0a*
encalabozar,encalabozó,0a*
demeritar,demeritó,0a*
menuzar,menuzó,0a*
malbaratar,malbarató,0a*
indigestar,indigestó,0a*
encausar,encausó,0a*
descongelar,descongeló,0a*
encalar,encaló,0a*
rodar,rodó,0a*
sulfurar,sulfuró,0a*
equivocar,equivocó,0a*
cimblar,cimbló,0a*
desosar,desosó,0a*
suicidar,suicidó,0a*
potar,potó,0a*
aliñar,aliñó,0a*
despolarizar,despolarizó,0a*
incorporar,incorporó,0a*
desencasillar,desencasilló,0a*
sobrestimar,sobrestimó,0a*
esquivar,esquivó,0a*
inspeccionar,inspeccionó,0a*
confesar,confesó,0a*
hirmar,hirmó,0a*
sinonimizar,sinonimizó,0a*
demarcar,demarcó,0a*
subalternizar,subalternizó,0a*
espachurrar,espachurró,0a*
reocupar,reocupó,0a*
reintegrar,reintegró,0a*
bastar,bastó,0a*
desenterrar,desenterró,0a*
remarcar,remarcó,0a*
pichar,pichó,0a*
nulificar,nulificó,0a*
tunelar,tuneló,0a*
arrebolar,arreboló,0a*
legitimizar,legitimizó,0a*
destapar,destapó,0a*
desencaminar,desencaminó,0a*
marchitar,marchitó,0a*
levantar,levantó,0a*
agigantar,agigantó,0a*
informalizar,informalizó,0a*
abarracar,abarracó,0a*
copatrocinar,copatrocinó,0a*
calcificar,calcificó,0a*
perorar,peroró,0a*
aniquilar,aniquiló,0a*
democratizar,democratizó,0a*
reputar,reputó,0a*
subcontratar,subcontrató,0a*
halogenar,halogenó,0a*
exhumar,exhumó,0a*
zozobrar,zozobró,0a*
rugar,rugó,0a*
exornar,exornó,0a*
pronominalizar,pronominalizó,0a*
reflexionar,reflexionó,0a*
cartelizar,cartelizó,0a*
solapar,solapó,0a*
gentrificar,gentrificó,0a*
estructurar,estructuró,0a*
bilateralizar,bilateralizó,0a*
alcantarillar,alcantarilló,0a*
energizar,energizó,0a*
triplicar,triplicó,0a*
encuestar,encuestó,0a*
arrancar,arrancó,0a*
saponificar,saponificó,0a*
desmarimbar,desmarimbó,0a*
llenar,llenó,0a*
descojonar,descojonó,0a*
bajar,bajó,0a*
reencauzar,reencauzó,0a*
apersonar,apersonó,0a*
regar,regó,0a*
criogenizar,criogenizó,0a*
suturar,suturó,0a*
bramar,bramó,0a*
desactivar,desactivó,0a*
apresurar,apresuró,0a*
desacralizar,desacralizó,0a*
aburguesar,aburguesó,0a*
descoyuntar,descoyuntó,0a*
transmigrar,transmigró,0a*
solidar,solidó,0a*
estregar,estregó,0a*
desacatar,desacató,0a*
enchironar,enchironó,0a*
sesgar,sesgó,0a*
azarar,azaró,0a*
desazolvar,desazolvó,0a*
caratular,caratuló,0a*
victimar,victimó,0a*
desfasar,desfasó,0a*
amohinar,amohinó,0a*
rostizar,rostizó,0a*
egresar,egresó,0a*
preelaborar,preelaboró,0a*
repagar,repagó,0a*
desposar,desposó,0a*
reutilizar,reutilizó,0a*
malgastar,malgastó,0a*
ultrajar,ultrajó,0a*
encarrilar,encarriló,0a*
descontracturar,descontracturó,0a*
roscar,roscó,0a*
resquebrajar,resquebrajó,0a*
rebautizar,rebautizó,0a*
afectar,afectó,0a*
finar,finó,0a*
arborizar,arborizó,0a*
atestar,atestó,0a*
abadernar,abadernó,0a*
yapar,yapó,0a*
manufacturar,manufacturó,0a*
desdeñar,desdeñó,0a*
coligar,coligó,0a*
rebuznar,rebuznó,0a*
abajar,abajó,0a*
conceptualizar,conceptualizó,0a*
rumorar,rumoró,0a*
reacomodar,reacomodó,0a*
aumentar,aumentó,0a*
encabestrar,encabestró,0a*
osar,osó,0a*
discapacitar,discapacitó,0a*
reestabilizar,reestabilizó,0a*
incubar,incubó,0a*
metalizar,metalizó,0a*
reimplantar,reimplantó,0a*
empapuzar,empapuzó,0a*
llagar,llagó,0a*
susurrar,susurró,0a*
expulsar,expulsó,0a*
atarazar,atarazó,0a*
lisar,lisó,0a*
espantar,espantó,0a*
rehusar,rehusó,0a*
subarrendar,subarrendó,0a*
opinar,opinó,0a*
bañar,bañó,0a*
microfilmar,microfilmó,0a*
decantar,decantó,0a*
entrecomillar,entrecomilló,0a*
hostigar,hostigó,0a*
helitransportar,helitransportó,0a*
autentificar,autentificó,0a*
increpar,increpó,0a*
frezar,frezó,0a*
abaldonar,abaldonó,0a*
enchuflar,enchufló,0a*
desparramar,desparramó,0a*
esperanzar,esperanzó,0a*
decelerar,deceleró,0a*
tratar,trató,0a*
reposar,reposó,0a*
transliterar,transliteró,0a*
discordar,discordó,0a*
censar,censó,0a*
copular,copuló,0a*
arremangar,arremangó,0a*
remendar,remendó,0a*
renumerar,renumeró,0a*
correlacionar,correlacionó,0a*
casar,casó,0a*
sulfatar,sulfató,0a*
monetizar,monetizó,0a*
cerrar,cerró,0a*
rancar,rancó,0a*
retumbar,retumbó,0a*
musitar,musitó,0a*
aboyar,aboyó,0a*
permutar,permutó,0a*
aprestar,aprestó,0a*
centrifugar,centrifugó,0a*
rifar,rifó,0a*
comparar,comparó,0a*
enmanillar,enmanilló,0a*
empozar,empozó,0a*
arrechar,arrechó,0a*
copilotar,copilotó,0a*
alcanzar,alcanzó,0a*
abancalar,abancaló,0a*
hibridar,hibridó,0a*
charlar,charló,0a*
gozar,gozó,0a*
contraargumentar,contraargumentó,0a*
escrachar,escrachó,0a*
esfumar,esfumó,0a*
cauterizar,cauterizó,0a*
respaldar,respaldó,0a*
endiosar,endiosó,0a*
prestar,prestó,0a*
obturar,obturó,0a*
retractar,retractó,0a*
zombificar,zombificó,0a*
tarifar,tarifó,0a*
celebrar,celebró,0a*
tensar,tensó,0a*
imanar,imanó,0a*
desguanguañar,desguanguañó,0a*
turnar,turnó,0a*
ofertar,ofertó,0a*
cogobernar,cogobernó,0a*
atezar,atezó,0a*
exagerar,exageró,0a*
chapar,chapó,0a*
vacar,vacó,0a*
descontrolar,descontroló,0a*
italianizar,italianizó,0a*
predominar,predominó,0a*
trepar,trepó,0a*
religar,religó,0a*
maniobrar,maniobró,0a*
replicar,replicó,0a*
retortijar,retortijó,0a*
rayar,rayó,0a*
cuadricular,cuadriculó,0a*
litar,litó,0a*
restaurar,restauró,0a*
emparrillar,emparrilló,0a*
desalentar,desalentó,0a*
reforestar,reforestó,0a*
venerar,veneró,0a*
refractar,refractó,0a*
duchar,duchó,0a*
esterificar,esterificó,0a*
bifurcar,bifurcó,0a*
chamuyar,chamuyó,0a*
apalizar,apalizó,0a*
resonar,resonó,0a*
sobrar,sobró,0a*
triptongar,triptongó,0a*
eclosionar,eclosionó,0a*
receptar,receptó,0a*
ratonar,ratonó,0a*
encorsetar,encorsetó,0a*
segmentar,segmentó,0a*
peritar,peritó,0a*
rajuñar,rajuñó,0a*
dimensionar,dimensionó,0a*
repollar,repolló,0a*
ahormar,ahormó,0a*
dominar,dominó,0a*
hipotetizar,hipotetizó,0a*
bufar,bufó,0a*
puntar,puntó,0a*
aherrojar,aherrojó,0a*
frizar,frizó,0a*
afanar,afanó,0a*
atemorizar,atemorizó,0a*
izar,izó,0a*
desarreglar,desarregló,0a*
redactar,redactó,0a*
escobillar,escobilló,0a*
tarar,taró,0a*
desparpajar,desparpajó,0a*
costar,costó,0a*
perjurar,perjuró,0a*
santificar,santificó,0a*
externalizar,externalizó,0a*
peregrinar,peregrinó,0a*
lacerar,laceró,0a*
cultivar,cultivó,0a*
retoñar,retoñó,0a*
enyerbar,enyerbó,0a*
empavar,empavó,0a*
reestilizar,reestilizó,0a*
ponderar,ponderó,0a*
citar,citó,0a*
despolvar,despolvó,0a*
cautivar,cautivó,0a*
pignorar,pignoró,0a*
imantar,imantó,0a*
desgubernamentalizar,desgubernamentalizó,0a*
ahuyentar,ahuyentó,0a*
arrebujar,arrebujó,0a*
imprimar,imprimó,0a*
adivinar,adivinó,0a*
apartar,apartó,0a*
modularizar,modularizó,0a*
leudar,leudó,0a*
apiolar,apioló,0a*
invalidar,invalidó,0a*
sambenitar,sambenitó,0a*
darlusar,darlusó,0a*
apilar,apiló,0a*
embolsillar,embolsilló,0a*
desoccidentalizar,desoccidentalizó,0a*
abundar,abundó,0a*
yerar,yeró,0a*
recalentar,recalentó,0a*
frenar,frenó,0a*
jubilar,jubiló,0a*
obstar,obstó,0a*
dolarizar,dolarizó,0a*
aquilatar,aquilató,0a*
aggiornar,aggiornó,0a*
vacacionar,vacacionó,0a*
formalizar,formalizó,0a*
desesperar,desesperó,0a*
tragar,tragó,0a*
protestar,protestó,0a*
precargar,precargó,0a*
tentar,tentó,0a*
despiezar,despiezó,0a*
sacralizar,sacralizó,0a*
currar,curró,0a*
electrocutar,electrocutó,0a*
divinizar,divinizó,0a*
condecorar,condecoró,0a*
internar,internó,0a*
permeabilizar,permeabilizó,0a*
encorvar,encorvó,0a*
acaramelar,acarameló,0a*
conquistar,conquistó,0a*
refregar,refregó,0a*
llamar,llamó,0a*
encimar,encimó,0a*
entallar,entalló,0a*
escarapelar,escarapeló,0a*
hidrogenar,hidrogenó,0a*
acompañar,acompañó,0a*
peraltar,peraltó,0a*
desapalancar,desapalancó,0a*
revalorizar,revalorizó,0a*
merendar,merendó,0a*
marcar,marcó,0a*
utilizar,utilizó,0a*
ensañar,ensañó,0a*
digitalizar,digitalizó,0a*
criminalizar,criminalizó,0a*
sumar,sumó,0a*
reservar,reservó,0a*
reinstitucionalizar,reinstitucionalizó,0a*
desembarcar,desembarcó,0a*
electrizar,electrizó,0a*
arengar,arengó,0a*
escalentar,escalentó,0a*
revisionar,revisionó,0a*
escrupulizar,escrupulizó,0a*
recompensar,recompensó,0a*
usurpar,usurpó,0a*
espumar,espumó,0a*
desmandar,desmandó,0a*
traspirar,traspiró,0a*
acribillar,acribilló,0a*
estatizar,estatizó,0a*
sementar,sementó,0a*
amistar,amistó,0a*
registrar,registró,0a*
aterrar,aterró,0a*
abanderizar,abanderizó,0a*
paralelar,paraleló,0a*
apachar,apachó,0a*
succionar,succionó,0a*
constelar,consteló,0a*
mostrar,mostró,0a*
emborronar,emborronó,0a*
mentalizar,mentalizó,0a*
simpatizar,simpatizó,0a*
sepultar,sepultó,0a*
desentrañar,desentrañó,0a*
carnetizar,carnetizó,0a*
biosintetizar,biosintetizó,0a*
desorejar,desorejó,0a*
lateralizar,lateralizó,0a*
despeinar,despeinó,0a*
exultar,exultó,0a*
desacoplar,desacopló,0a*
reprogramar,reprogramó,0a*
